id MET1 MET2    m1%    m2%  cpu1  cpu2  McNemar Sgn    binom Sgn FFn00 TFn10 FTn01 TTn11  win
26  DTW CDTW 0.5712 0.7056   194   135 44.16026   1  0.00000  -1   148    36   120   321 CDTW
26  DTW SAGA 0.5712 0.5392   194   376  2.22727   0  0.00000  -1   179   109    89   248  DTW
26 CDTW SAGA 0.7056 0.5392   135   376 46.71610   1  0.00000  -1   118   170    66   271 CDTW
27 NONE  DTW 0.4718 0.1949     6   179 87.36029   1  0.00000  -1   192   122    14    62 NONE
27 NONE CDTW 0.4718 0.2462     6    94 62.86508   1  0.00000  -1   187   107    19    77 NONE
27 NONE SAGA 0.4718 0.2897     6   327 45.87611   1  0.00000  -1   185    92    21    92 NONE
27  DTW CDTW 0.1949 0.2462   179    94  4.19767   1  0.00000  -1   261    33    53    43 CDTW
27  DTW SAGA 0.1949 0.2897   179   327 15.24706   1  0.00000  -1   253    24    61    52 SAGA
27 CDTW SAGA 0.2462 0.2897    94   327  2.87640   0  0.00000  -1   241    36    53    60 SAGA
28 NONE  DTW 0.5333 0.4051     6   179 18.57857   1  0.00000  -1   137    95    45   113 NONE
28 NONE CDTW 0.5333 0.4077     6   110 19.37984   1  0.00000  -1   142    89    40   119 NONE
28 NONE SAGA 0.5333 0.3410     6   325 40.39161   1  0.00000  -1   148   109    34    99 NONE
28  DTW CDTW 0.4051 0.4077   179   110  0.00000   0  0.00000  -1   187    44    45   114 CDTW
28  DTW SAGA 0.4051 0.3410   179   325  6.20183   1  0.00000  -1   190    67    42    91  DTW
28 CDTW SAGA 0.4077 0.3410   110   325  6.39474   1  0.00000  -1   187    70    44    89 CDTW
29 NONE  DTW 0.3994 0.3864     1   169  0.21186   0  0.00000  -1   128    61    57    62 NONE
29 NONE CDTW 0.3994 0.3279     1    23  4.80909   1  0.00000  -1   141    66    44    57 NONE
29 NONE SAGA 0.3994 0.2662     1   118 15.33913   1  0.00000  -1   148    78    37    45 NONE
29  DTW CDTW 0.3864 0.3279   169    23  3.00833   0  0.00000  -1   138    69    51    50  DTW
29  DTW SAGA 0.3864 0.2662   169   118 12.13445   1  0.00000  -1   148    78    41    41  DTW
29 CDTW SAGA 0.3279 0.2662    23   118  4.04040   1  0.00000  -1   167    59    40    42 CDTW
30 NONE  DTW 0.7698 0.3205     3    31 886.42753   1  0.00000  -1   453   940    19   638 NONE
30 NONE CDTW 0.7698 0.2771     3    25 958.83771   1  0.00000  -1   444  1038    28   540 NONE
30 NONE SAGA 0.7698 0.3400     3    66 823.20000   1  0.00000  -1   440   913    32   665 NONE
30  DTW CDTW 0.3205 0.2771    31    25 28.62191   1  0.00000  -1  1296   186    97   471  DTW
30  DTW SAGA 0.3205 0.3400    31    66  2.40665   0  0.00000  -1  1057   296   336   361 SAGA
30 CDTW SAGA 0.2771 0.3400    25    66 27.53613   1  0.00000  -1  1120   233   362   335 SAGA
31 NONE  DTW 0.5560 0.0374    24   361 144.24747   1  0.00000  -1   179   183    15    78 NONE
31 NONE CDTW 0.5560 0.0088    24   250 138.90659   1  0.00000  -1   182   170    12    91 NONE
31 NONE SAGA 0.5560 0.0198    24   748 122.86452   1  0.00000  -1   185   146     9   115 NONE
31  DTW CDTW 0.0374 0.0088   361   250  1.19118   0  0.00000  -1   323    29    39    64 CDTW
31  DTW SAGA 0.0374 0.0198   361   748  8.57143   1  0.00000  -1   294    37    68    56 SAGA
31 CDTW SAGA 0.0088 0.0198   250   748  5.19481   1  0.00000  -1   303    28    49    75 SAGA
32 NONE  DTW 0.5029 0.3746     0    32 69.33042   1  0.00000  -1   546   317   140   377 NONE
32 NONE CDTW 0.5029 0.4261     0     2 26.62558   1  0.00000  -1   524   268   162   426 NONE
32 NONE SAGA 0.5029 0.2761     0    11 150.07002   1  0.00000  -1   514   485   172   209 NONE
32  DTW CDTW 0.3746 0.4261    32     2 11.75060   1  0.00000  -1   619   173   244   344 CDTW
32  DTW SAGA 0.3746 0.2761    32    11 34.37546   1  0.00000  -1   658   341   205   176  DTW
32 CDTW SAGA 0.4261 0.2761     2    11 83.36031   1  0.00000  -1   636   363   156   225 CDTW
33 NONE  DTW 0.2600 0.1836     1   304 13.59559   1  0.00000  -1   360    89    47    54 NONE
33 NONE CDTW 0.2600 0.1418     1    78 29.63265   1  0.00000  -1   366   106    41    37 NONE
33 NONE SAGA 0.2600 0.1782     1    83 12.82424   1  0.00000  -1   347   105    60    38 NONE
33  DTW CDTW 0.1836 0.1418   304    78  8.86154   1  0.00000  -1   428    44    21    57  DTW
33  DTW SAGA 0.1836 0.1782   304    83  0.13223   0  0.00000  -1   390    62    59    39  DTW
33 CDTW SAGA 0.1418 0.1782    78    83  3.34259   0  0.00000  -1   408    44    64    34 SAGA
34 NONE  DTW 0.7237 0.3722    21   196 534.78097   1  0.00000  -1   433   628    34   595 NONE
34 NONE CDTW 0.7237 0.3698    21   147 473.35224   1  0.00000  -1   387   678    80   545 NONE
34 NONE SAGA 0.7237 0.2491    21   468 736.08333   1  0.00000  -1   430   839    37   384 NONE
34  DTW CDTW 0.3722 0.3698   196   147  0.05531   0  0.00000  -1   837   228   224   401  DTW
34  DTW SAGA 0.3722 0.2491   196   468 95.37336   1  0.00000  -1   936   333   125   296  DTW
34 CDTW SAGA 0.3698 0.2491   147   468 75.31362   1  0.00000  -1   888   381   177   244 CDTW
35 NONE  DTW 0.9633 0.7079     1    23 519.48052   1  0.00000  -1    39   646    47  1613 NONE
35 NONE CDTW 0.9633 0.9633     1     3      Inf   0  2.00000   0    86     0     0  2259 ----
35 NONE SAGA 0.9633 0.9522     1    17 24.30000   1  0.00000  -1    84    28     2  2231 NONE
35  DTW CDTW 0.7079 0.9633    23     3 516.02309   1  0.00000  -1    39    47   646  1613 CDTW
35  DTW SAGA 0.7079 0.9522    23    17 489.06428   1  0.00000  -1    64    48   621  1612 SAGA
35 CDTW SAGA 0.9633 0.9522     3    17 24.30000   1  0.00000  -1    84    28     2  2231 CDTW
36 NONE  DTW 0.2307 0.2315     6   118 255.85194   1  0.00000  -1  1306  1132   489   913 NONE
36 NONE CDTW 0.2307 0.2307     6    75      Inf   0  2.00000   0  1795     0     0  2045 ----
36 NONE SAGA 0.2307 0.2398     6   274 221.97641   1  0.00000  -1  1288  1104   507   941 NONE
36  DTW CDTW 0.2315 0.2307   118    75 254.26527   1  0.00000  -1  1306   489  1132   913 CDTW
36  DTW SAGA 0.2315 0.2398   118   274  3.75000   0  0.00000  -1  2145   247   293  1155 SAGA
36 CDTW SAGA 0.2307 0.2398    75   274 221.97641   1  0.00000  -1  1288  1104   507   941 CDTW
37 NONE  DTW 0.4643 0.4643     2    86      Inf   0  2.00000   0  1393     0     0  1607 ----
37 NONE CDTW 0.4643 0.4643     2    29      Inf   0  2.00000   0  1393     0     0  1607 ----
37 NONE SAGA 0.4643 0.4643     2   137      Inf   0  2.00000   0  1393     0     0  1607 ----
37  DTW CDTW 0.4643 0.4643    86    29      Inf   0  2.00000   0  1393     0     0  1607 ----
37  DTW SAGA 0.4643 0.4643    86   137      Inf   0  2.00000   0  1393     0     0  1607 ----
37 CDTW SAGA 0.4643 0.4643    29   137      Inf   0  2.00000   0  1393     0     0  1607 ----
38 NONE  DTW 0.2587 0.2587    37   476      Inf   0  2.00000   0  2965     0     0  1035 ----
38 NONE CDTW 0.2587 0.2587    37   377      Inf   0  2.00000   0  2965     0     0  1035 ----
38 NONE SAGA 0.2587 0.2587    37  1196      Inf   0  2.00000   0  2965     0     0  1035 ----
38  DTW CDTW 0.2587 0.2587   476   377      Inf   0  2.00000   0  2965     0     0  1035 ----
38  DTW SAGA 0.2587 0.2587   476  1196      Inf   0  2.00000   0  2965     0     0  1035 ----
38 CDTW SAGA 0.2587 0.2587   377  1196      Inf   0  2.00000   0  2965     0     0  1035 ----
39 NONE  DTW 0.1079 0.6265    38   338 1279.46781   1  0.00000  -1   435  1867   230  3632 NONE
39 NONE CDTW 0.1079 0.1079    38   268      Inf   0  2.00000   0   665     0     0  5499 ----
39 NONE SAGA 0.1079 0.6804    38   866 648.28430   1  0.00000  -1     2  1968   663  3531 NONE
39  DTW CDTW 0.6265 0.1079   338   268 1276.34526   1  0.00000  -1   435   230  1867  3632 CDTW
39  DTW SAGA 0.6265 0.6804   338   866 196.34588   1  0.00000  -1  1857   113   445  3749 SAGA
39 CDTW SAGA 0.1079 0.6804   268   866 648.28430   1  0.00000  -1     2  1968   663  3531 CDTW
40 NONE  DTW 0.1220 0.1220    30   857      Inf   0  2.00000   0  3149     0     0   433 ----
40 NONE CDTW 0.1220 0.1220    30   428      Inf   0  2.00000   0  3149     0     0   433 ----
40 NONE SAGA 0.1220 0.0771    30  1816  0.00883   0  0.00000  -1  2921   225   228   208 SAGA
40  DTW CDTW 0.1220 0.1220   857   428      Inf   0  2.00000   0  3149     0     0   433 ----
40  DTW SAGA 0.1220 0.0771   857  1816  0.00883   0  0.00000  -1  2921   225   228   208 SAGA
40 CDTW SAGA 0.1220 0.0771   428  1816  0.00883   0  0.00000  -1  2921   225   228   208 SAGA
0.9233 0.6933 0.6800 0.7733 1 1 1 0 1 1
0.7900 0.5100 0.6800 0.4500 1 1 1 1 0 1
0.8174 0.8069 0.8174 0.7985 0 0 1 0 0 1
0.7388 0.8453 0.7388 0.6839 1 0 1 1 1 1
0.8673 0.8271 0.8060 0.7437 1 1 1 1 1 1
0.9403 0.5514 0.5540 0.5522 1 1 1 0 0 0
0.3000 0.2000 0.0667 0.2667 0 0 0 0 0 0
0.8706 0.8570 0.8706 0.8363 0 0 1 0 1 1
0.6164 0.2466 0.2740 0.4110 1 1 1 1 0 0
0.6885 0.6230 0.3607 0.5738 0 1 0 1 0 1
0.9582 0.8251 0.9582 0.9640 1 0 0 1 1 0
0.7667 0.6667 0.7667 0.6867 1 0 1 0 0 1
0.8636 0.6477 0.7614 0.8295 1 1 0 0 1 0
0.9582 0.6945 0.9582 0.6539 1 0 1 1 1 1
0.8200 0.8000 0.8200 0.7900 0 0 0 0 0 0
0.9641 0.3399 0.9641 0.9739 1 0 0 1 1 0
0.9643 0.6071 0.7500 0.7143 1 1 1 0 0 0
0.8800 0.7389 0.7356 0.8311 1 1 1 0 1 1
0.5000 0.5000 0.5000 0.5000 0 0 0 0 0 0
0.8400 0.5714 0.6171 0.4800 1 1 1 0 1 1
0.4463 0.3636 0.3017 0.3223 1 1 1 1 0 0
0.1724 0.0611 0.1395 0.0408 1 1 1 0 0 0
0.4282 0.3385 0.3385 0.3128 1 1 1 0 0 0
0.7340 0.3248 0.2916 0.2327 1 1 1 0 0 0
0.1013 0.1987 0.2263 0.0684 1 1 1 1 1 1
0.8304 0.5712 0.7056 0.5392 1 1 1 1 0 1
0.4718 0.1949 0.2462 0.2897 1 1 1 1 1 0
0.5333 0.4051 0.4077 0.3410 1 1 1 0 1 1
0.3994 0.3864 0.3279 0.2662 0 1 1 0 1 1
0.7698 0.3205 0.2771 0.3400 1 1 1 1 0 1
0.5560 0.0374 0.0088 0.0198 1 1 1 0 1 1
0.5029 0.3746 0.4261 0.2761 1 1 1 1 1 1
0.2600 0.1836 0.1418 0.1782 1 1 1 1 0 0
0.7237 0.3722 0.3698 0.2491 1 1 1 0 1 1
0.9633 0.7079 0.9633 0.9522 1 0 1 1 1 1
0.2307 0.2315 0.2307 0.2398 1 0 1 1 0 1
0.4643 0.4643 0.4643 0.4643 0 0 0 0 0 0
0.2587 0.2587 0.2587 0.2587 0 0 0 0 0 0
0.1079 0.6265 0.1079 0.6804 1 0 1 1 1 1
0.1220 0.1220 0.1220 0.0771 0 0 0 0 0 0
